,rmse,mae,smape,r2,rmse_std,mae_std,smape_std,r2_std
RandomForest,3.420209070308087,2.2865233924145483,65.34240221889429,0.3508378912327497,0.1887280802035753,0.13647929568629366,3.8183004941220773,0.0446104097960127
XGBoost,3.3877078449819367,2.223079715733304,63.48978668289412,0.3629457335874521,0.21522562579081564,0.14705928411649222,3.795106697734908,0.05390449809973848
GradientBoosting,3.4369236024480143,2.2761834431779318,65.60807132159606,0.3440737464057527,0.2222840763222923,0.13981153895175108,4.02550158543239,0.05907969517358302
Ridge,3.7987370008041212,2.599473889734841,73.87170572689801,0.19931479023904178,0.12973301606957477,0.09814031897982385,2.748996580977414,0.020361062694989156
SVR,4.163832793255595,2.911362920938642,82.53133426955301,0.038105938183334166,0.20787882774956026,0.14115574338175144,2.6772016650753967,0.05379397391084465
Ensemble,3.353578771013116,2.2137800170332644,63.74034146608153,0.3758548033606467,0.19285831648886345,0.13107196807351565,3.6745729059991903,0.04556423552601185
